Sequence	Candidate for	Resistance_to	Reference	MGS_DANOIS	isPhage	MGS_SIZE	superkingdom	phylum	class	order	family	genus	species	COG/NOG/KOG_v3	Functional category_v3	Annotation_eggNOG_v3
MC3.MG117.AS1.GP1.C11763.G2	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	6465	-	-								bactNOG66247	Defense mechanisms 	Aminoglycoside N3' protein
MC3.MG12.AS1.GP1.C31238.G2	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	3504	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides sp. D13	bactNOG66247	Defense mechanisms 	Aminoglycoside N3' protein
MC3.MG12.AS1.GP1.C43923.G4	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	2629	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus CAG:14	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG12.AS1.GP1.C6903.G1	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	228	proph	3206								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG12.AS1.GP1.C7118.G6	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	382	-	1985	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:382	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG12.AS1.GP1.C73412.G1	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	307	-	2233	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:307	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG12.AS1.GP1.C77878.G10	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	proph	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:189	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG120.AS1.GP1.C48677.G11	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas	Succinatimonas sp. CAG:777	bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG124.AS1.GP1.C14008.G2	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	38	-	2758	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG127.AS1.GP1.C9015.G3	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG14.AS1.GP1.C21224.G3	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	3409	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG14.AS1.GP1.C25380.G2	aac3_2	aminoglycosides	AAC3_VI_AAA16194_1	3471	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:62	bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG155.AS1.GP1.C49054.G2	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	206	proph	888	Bacteria	Firmicutes	Clostridia					bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG16.AS1.GP1.C14829.G3	aac3_2	aminoglycosides	AAC_3_II_CAA35913_1	76	-	2378	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:76	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG161.AS1.GP1.C42277.G3	aac3_2	aminoglycosides	AAC3_soil_CBI71190_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG162.AS1.GP1.C50454.G1	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	223	-	3033	Bacteria	Firmicutes						bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG182.AS1.GP1.C22208.G1	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG189.AS1.GP1.C13998.G1	aac3_2	aminoglycosides	AAC3_VI_AAA16194_1	585	-	2317								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG192.AS1.GP1.C10541.G2	aac3_2	aminoglycosides	AAC3_IXa_AAA25334_1	64	proph	4224	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae			bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG196.AS1.GP1.C21316.G2	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	1168	-	963								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG197.AS1.GP1.C11517.G1	aac3_2	aminoglycosides	AAC3_IXa_AAA25334_1	-	proph	-	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter winghamensis	COG2746	Defense mechanisms 	Aminoglycoside N3'-acetyltransferase
MC3.MG201.AS1.GP1.C20591.G4	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	136	-	3023								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG208.AS1.GP1.C18609.G2	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG222.AS1.GP1.C43686.G31	aac3_2	aminoglycosides	AAC3_AAA25683_1	719	-	2480	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus amylovorus GRL 1112	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG223.AS1.GP1.C580.G2	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	252	-	2318								actNOG07329	Defense mechanisms 	Acetyltransferase
MC3.MG225.AS1.GP1.C8044.G14	aac3_2	aminoglycosides	AAC3_soil_CBI71190_1	167	-	2206	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:167	bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG228.AS1.GP1.C7761.G1	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	66	-	3309								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG243.AS1.GP1.C60576.G15	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	308	proph	1961	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium cylindroides T2-87	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG245.AS1.GP1.C16207.G4	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	242	proph	3078	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:242	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG248.AS1.GP1.C27259.G1	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	30	-	8134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG253.AS1.GP1.C7864.G6	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG254.AS1.GP1.C34926.G2	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG267.AS1.GP1.C68626.G13	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	353	-	2925	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:353	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG276.AS1.GP1.C1990.G1	aac3_2	aminoglycosides	AAC_3_II_CAA35913_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG277.AS1.GP1.C5999.G2	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus kitasatonis	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG278.AS1.GP1.C6434.G21	aac3_2	aminoglycosides	AAC3_IIIb_AAA25682_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG279.AS1.GP1.C27138.G2	aac3_2	aminoglycosides	AAC_3_II_CAA35913_1	-	-	-								bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG282.AS1.GP1.C17150.G10	aac3_2	aminoglycosides	AAC3_IXa_AAA25334_1	293	proph	2809								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG282.AS1.GP1.C17890.G5	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	358	proph	3325								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG290.AS1.GP1.C41433.G6	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG297.AS1.GP1.C53964.G2	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG299.AS1.GP1.C39357.G10	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	882	-	2661	Bacteria	Firmicutes						bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG3.AS1.GP1.C26790.G1	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	91	-	1371	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:91	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG302.AS1.GP1.C34511.G1	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	72	-	2887	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium eligens CAG:72	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG307.AS1.GP1.C32831.G9	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:754	arCOG06298	Defense mechanisms 	Aminoglycoside N3'-acetyltransferase
MC3.MG308.AS1.GP1.C8387.G1	aac3_2	aminoglycosides	AAC3_VI_AAA16194_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG313.AS1.GP1.C31949.G3	aac3_2	aminoglycosides	AAC3_IXa_AAA25334_1	375	proph	2404	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium dolichum CAG:375	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG319.AS1.GP1.C3492.G31	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides pectinophilus CAG:437	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG321.AS1.GP1.C23578.G4	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	1	-	3522	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. 4_3_54A2FAA	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG321.AS1.GP1.C34409.G1	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	461	-	3247								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG325.AS1.GP1.C543.G1	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG330.AS1.GP1.C8621.G1	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG34.AS1.GP1.C8072.G4	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG351.AS1.GP1.C45566.G6	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	216	-	3870	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. D6	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG368.AS1.GP1.C82687.G2	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	195	-	1112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	uncultured Faecalibacterium sp.	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG373.AS1.GP1.C2318.G13	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG373.AS1.GP1.C48564.G7	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis CAG:558	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG377.AS1.GP1.C83819.G1	aac3_2	aminoglycosides	AAC_3_II_CAA35913_1	-	-	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG38.AS1.GP1.C19136.G10	aac3_2	aminoglycosides	AAC3_AAA25683_1	-	-	-								bactNOG66247	Defense mechanisms 	Aminoglycoside N3' protein
MC3.MG386.AS1.GP1.C72862.G4	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	33	proph	3174								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG390.AS1.GP1.C58762.G2	aac3_2	aminoglycosides	AAC3_III_CAA39184_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG393.AS1.GP1.C599.G10	aac3_2	aminoglycosides	AAC3_VII_AAA88552_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG43.AS1.GP1.C18073.G3	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG51.AS1.GP1.C966.G9	aac3_2	aminoglycosides	AAC3_soil_CBI71190_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG52.AS1.GP1.C29695.G2	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG6.AS1.GP1.C48520.G3	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-								COG2746	Defense mechanisms 	Aminoglycoside N3'-acetyltransferase
MC3.MG74.AS1.GP1.C6244.G2	aac3_2	aminoglycosides	AAC3_IXa_AAA25334_1	-	proph	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG87.AS1.GP1.C104.G1	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG87.AS1.GP1.C38644.G7	aac3_2	aminoglycosides	AAC3_Xa_BAA78619_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG94.AS1.GP1.C14949.G16	aac3_2	aminoglycosides	AAC_3_IV_CAA25642_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. CAG:266	bactNOG42275	Defense mechanisms 	Aminoglycoside 3-N-acetyltransferase
MC3.MG98.AS1.GP1.C20393.G13	aac3_2	aminoglycosides	AAC3_AAA25683_1	-	proph	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:343	bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG99.AS1.GP1.C18158.G17	aac3_2	aminoglycosides	AAC3_Vb_AAA26548_1	-	-	-								bactNOG18015	Defense mechanisms 	Aminoglycoside N3-acetyltransferase
MC3.MG100.AS1.GP1.C19963.G2	aac6	aminoglycosides	AAC6_SOM_ACT97673_1	-	-	-								NOG310456		
MC3.MG100.AS1.GP1.C2497.G2	aac6	aminoglycosides	AAC6_Ii_AAB63533_1	1013	proph	2929	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:1013	chloNOG03348	General function prediction only 	Aminoglycoside N(6')-acetyltransferase
MC3.MG100.AS1.GP1.C26379.G2	aac6	aminoglycosides	AOKan6_ACS83742_1	169	-	2601	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:169			
MC3.MG100.AS1.GP1.C26760.G3	aac6	aminoglycosides	AAC6_Im_AAK63041_1	-	proph	-								firmNOG06572	Translation, ribosomal structure and biogenesis 	Resistance to gentamicin, tobramycin, and kanamycin. Tobramycin and kanamycin resistance is due to the ACC activity, specified by N-terminal region, and the gentamicin resistance is due to the APH activity encoded by the C-terminal region of the protein
MC3.MG100.AS1.GP1.C26763.G3	aac6	aminoglycosides	AAC6_Iad_BAD12078_1	-	-	-								proNOG26435	Transcription 	Aminoglycoside 6'-N-acetyltransferase
MC3.MG100.AS1.GP1.C30857.G4	aac6	aminoglycosides	AAC6_Iai_ACI28880_1	348	-	3174	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium nexile CAG:348	COG1247	Cell wall/membrane/envelope biogenesis 	Sortase and related acyltransferases
MC3.MG100.AS1.GP1.C5302.G1	aac6	aminoglycosides	AAC6_Ir_AAD03490_1	-	-	-								firmNOG07213	General function prediction only 	Acetyltransferase (GT) family
MC3.MG101.AS1.GP1.C57064.G38	aac6	aminoglycosides	AAC6_Iu_AAD03493_1	798	-	1277	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:798	firmNOG07213	General function prediction only 	Acetyltransferase (GT) family
MC3.MG103.AS1.GP1.C14223.G8	aac6	aminoglycosides	AAC6_SOM_ACT97683_1	488	-	1853	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:488	COG1247	Cell wall/membrane/envelope biogenesis 	Sortase and related acyltransferases
MC3.MG103.AS1.GP1.C30399.G2	aac6	aminoglycosides	AAC6_SOM_ACT97673_1	-	-	-								proNOG26647	General function prediction only 	Gcn5-Related N-acetyltransferase
MC3.MG103.AS1.GP1.C37738.G21	aac6	aminoglycosides	AAC6_AAN41429_1	-	-	-								firmNOG07213	General function prediction only 	Acetyltransferase (GT) family
MC3.MG108.AS1.GP1.C17960.G1	aac6	aminoglycosides	AAC6_Iad_BAD12078_1	19	-	2290	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes CAG:19	veNOG13090	Amino acid transport and metabolism 	Spermidine/Spermine N1-acetyltransferase family member 2
MC3.MG109.AS1.GP1.C24750.G3	aac6	aminoglycosides	AAC6_IV_CAG26810_1	115	-	2580	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:115	proNOG20213	General function prediction only 	Gcn5-Related N-acetyltransferase
MC3.MG109.AS1.GP1.C9460.G2	aac6	aminoglycosides	AAC6_Iae_BAD14386_1	-	-	-								NOG134365	General function prediction only 	Acetyltransferase
